"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79"
"84",1,5,3,5,5,3,3,5,5,5,5,5,5,1,5,5,1,5,5,5,3,5,5,5,5,5,1,3,5,5,5,5,5,3,4,5,5,5,5,5,5,5,1,1,1,2,5,4,4,1,4,2,4,5,1,5,3,5,5,5,5,1,5,1,1,1,1,5,5,5,1,3,1,1,3,5,1,5,1
"85",3,1,3,1,1,3,3,4,1,1,1,1,1,4,1,4,1,1,1,1,3,1,4,1,1,4,1,3,1,1,4,1,4,3,1,1,1,1,1,1,1,1,4,3,3,5,1,2,2,4,2,5,2,1,3,1,1,1,1,4,1,1,1,3,3,3,1,1,4,1,4,3,1,1,3,1,3,1,3
"86",3,4,2,4,4,2,2,4,3,4,4,4,4,4,4,4,3,4,4,4,2,4,4,4,4,4,4,5,4,4,5,4,4,2,1,4,4,4,4,4,4,4,4,3,3,5,4,1,1,4,1,5,1,4,3,4,2,4,4,4,4,5,3,3,3,3,4,4,4,4,4,2,3,3,2,4,3,3,3
"87",6,3,2,3,3,2,2,3,6,3,3,3,3,6,3,3,6,3,3,3,2,3,3,3,4,3,6,2,3,3,3,3,3,2,3,3,4,3,3,3,3,3,1,6,6,5,3,1,1,1,1,5,1,3,6,3,2,3,3,3,3,6,6,6,6,6,6,3,3,3,6,2,6,6,2,3,6,6,6
"88",5,4,5,4,4,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4,4,4,2,4,4,5,4,1,4,4,4,5,5,4,2,4,4,2,4,4,1,4,4,4,4,1,1,1,1,4,1,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,5,3,4,5,4,4,4,4
"89",5,1,3,1,1,3,3,1,1,1,1,1,1,1,1,1,5,1,1,5,3,1,1,1,2,1,1,3,1,1,1,1,1,3,4,1,2,1,1,2,1,2,1,5,5,6,1,4,4,1,4,6,4,1,5,1,3,1,1,1,1,3,5,5,5,5,1,1,1,1,1,3,5,5,3,1,5,1,5
"90",6,7,1,7,7,1,1,5,7,7,7,7,7,5,7,5,6,7,7,7,1,7,7,7,3,5,5,1,7,7,5,7,5,1,7,7,3,7,7,7,7,7,5,6,6,4,7,2,2,5,2,4,2,7,6,7,1,7,7,5,7,5,7,5,5,6,5,7,5,7,5,1,5,5,1,7,6,7,6
"91",1,5,1,5,5,1,1,5,2,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,1,5,5,5,5,5,1,3,5,5,5,5,5,5,5,5,1,1,4,5,3,3,5,3,4,3,5,1,5,1,5,5,5,5,2,2,2,1,1,5,5,5,5,5,1,2,1,1,5,1,2,1
"92",5,4,1,4,4,1,1,4,4,4,4,4,4,4,4,4,5,4,4,5,1,4,4,4,6,4,4,1,4,4,4,4,4,1,2,4,6,4,4,6,4,6,4,5,5,3,4,2,2,4,2,3,2,4,5,4,1,4,4,4,4,1,5,5,5,5,4,4,4,4,4,1,5,5,1,4,5,4,5
"93",4,3,4,3,3,4,4,2,4,3,3,3,3,2,3,2,3,3,3,3,4,3,3,3,3,2,4,4,3,3,2,3,2,2,3,3,3,3,3,3,3,3,2,4,4,1,3,4,4,2,4,1,4,3,4,3,4,3,3,2,3,4,4,4,4,4,4,3,2,3,2,4,4,4,4,3,4,4,4
"94",2,1,2,1,1,2,2,5,1,1,1,1,1,5,2,5,1,1,1,1,2,1,5,1,4,5,1,2,1,1,5,1,5,2,1,1,4,1,1,1,1,1,5,1,1,3,1,6,6,5,6,3,6,1,2,1,1,1,1,5,1,2,1,1,1,1,1,1,5,1,5,2,1,1,2,1,1,1,1
"95",4,2,1,2,2,1,1,2,4,2,2,2,2,2,1,2,4,2,2,2,1,2,2,2,2,2,2,6,2,2,6,2,2,1,3,2,2,2,2,2,2,2,2,4,4,5,2,3,3,6,3,5,3,2,4,2,2,2,2,2,2,6,4,4,4,4,2,2,2,2,2,1,4,4,1,2,4,4,4
"96",1,4,1,4,4,1,1,3,4,4,4,4,4,3,4,3,4,4,4,4,1,4,3,4,2,3,4,1,4,4,3,4,3,1,1,4,2,4,4,4,4,4,3,4,4,5,4,1,1,3,1,5,1,4,1,4,4,2,4,3,4,1,4,4,4,4,4,4,3,4,3,1,4,4,1,4,4,4,4
"97",3,1,3,1,1,3,3,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,4,1,2,2,1,2,4,2,1,2,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1
"98",1,3,4,3,3,4,4,3,3,3,3,3,3,1,3,3,1,3,3,3,4,3,3,3,2,3,1,4,3,3,3,3,3,4,4,3,2,3,3,3,3,3,3,1,1,5,3,4,4,3,4,5,4,3,1,3,4,3,3,3,3,1,3,1,1,1,1,3,3,3,1,4,1,1,4,3,1,3,1
"99",3,5,2,5,5,2,2,4,5,5,5,5,5,3,5,4,5,5,5,5,2,5,4,5,5,4,3,2,5,5,4,5,4,2,5,5,5,5,5,5,5,5,4,3,3,1,5,2,2,4,2,1,2,5,3,5,5,5,5,4,5,3,5,3,3,3,3,5,4,5,3,2,3,3,2,5,3,5,3
"100",1,2,5,2,2,5,5,2,2,2,2,2,2,2,2,2,1,2,2,2,5,2,2,2,2,2,2,3,2,3,3,2,2,5,4,2,2,2,2,2,2,2,2,1,1,6,2,4,4,3,4,6,4,2,1,2,5,2,2,2,2,3,1,1,1,1,2,2,2,2,2,5,1,1,5,2,1,2,1
