"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83"
"80",2,7,5,2,6,6,2,2,6,2,5,4,6,2,2,2,2,5,7,3,2,3,3,1,4,6,7,1,7,6,6,1,2,4,1,2,6,6,3,7,1,6,6,8,1,3,3,6,7,3,2,6,3,6,3,3,6,7,1,2,7,6,6,6,6,6,7,6,5,2,5,6,1,2,1,6,1,6,1,6,9,9,3
"81",3,6,3,2,5,1,3,2,1,6,4,4,1,6,3,3,3,4,3,7,3,7,7,1,3,3,3,5,3,7,1,5,6,4,1,3,1,1,7,6,1,1,5,8,6,7,7,7,3,7,6,5,7,7,7,7,5,1,5,6,4,1,1,1,1,1,1,1,4,3,6,1,1,6,5,5,5,5,6,5,9,9,7
"82",2,1,7,7,5,5,7,7,5,7,7,7,6,4,7,7,6,7,7,4,5,3,3,2,7,5,7,5,5,5,5,1,1,7,2,6,5,5,4,1,2,5,7,8,1,2,2,2,5,4,6,5,4,5,4,4,5,5,1,1,2,5,5,5,5,5,2,5,1,6,4,5,2,1,1,5,2,5,1,5,9,9,2
"83",6,1,6,3,7,7,3,3,7,3,6,5,6,2,3,3,6,5,1,2,3,3,5,4,3,3,1,4,3,5,5,4,7,5,2,3,7,7,7,1,6,7,3,8,4,2,5,7,3,5,7,7,5,5,5,5,7,3,4,7,5,7,7,7,7,7,1,7,6,6,6,7,4,6,4,7,4,7,2,7,9,9,2
"84",2,3,2,3,6,6,3,3,1,6,2,3,2,7,2,3,2,2,3,5,2,5,5,1,6,6,3,4,3,5,5,4,7,6,1,2,1,6,1,7,1,6,6,8,7,1,5,1,3,5,7,6,5,5,5,5,6,3,4,7,2,6,1,1,6,6,1,2,7,2,2,6,1,7,4,1,1,6,7,6,9,9,1
"85",3,8,3,6,2,3,3,6,4,2,5,3,3,5,3,3,3,5,8,5,3,1,1,2,2,8,8,7,3,1,1,7,5,2,2,3,4,3,5,8,2,3,2,9,1,2,1,2,3,1,5,2,1,1,1,1,2,3,7,5,1,3,4,4,3,3,2,3,5,3,5,3,2,5,7,4,2,3,5,4,10,10,2
"86",4,3,4,5,5,5,5,5,5,7,4,4,4,5,4,4,4,4,5,2,4,2,2,5,4,5,3,7,5,5,5,7,5,1,5,5,5,5,2,3,5,5,5,8,5,2,2,2,5,2,2,5,2,5,2,2,5,5,7,5,4,5,5,5,5,5,5,5,4,4,4,5,5,7,7,6,7,5,5,6,9,9,2
"87",6,4,1,1,1,1,2,1,1,2,4,2,1,4,1,1,6,4,2,5,2,5,5,1,2,2,2,3,2,1,1,3,4,2,5,2,1,1,1,4,1,1,2,7,1,5,5,5,2,5,1,1,5,1,5,5,1,2,3,4,6,1,1,1,1,1,1,1,4,1,1,1,1,3,3,1,3,1,4,1,8,8,5
"88",3,6,3,7,6,6,3,7,6,7,1,5,3,5,3,3,3,1,4,5,3,7,7,2,5,3,3,2,3,6,6,2,6,5,2,3,6,6,4,6,7,6,5,9,6,6,8,6,3,8,4,6,8,6,8,8,6,3,2,6,3,6,6,6,6,6,4,6,1,3,1,6,2,7,2,4,2,6,7,4,10,10,7
"89",1,2,1,1,4,4,1,1,4,1,2,1,4,2,1,1,1,2,1,5,1,5,5,6,1,1,1,3,1,5,5,3,2,1,6,1,4,4,6,2,6,4,4,7,2,6,5,6,1,5,2,4,5,5,5,5,4,4,3,2,1,4,4,4,4,4,6,4,2,1,6,4,6,2,3,4,6,4,2,4,8,8,6
"90",1,3,1,6,6,6,1,6,2,4,4,4,1,4,1,1,1,4,2,4,1,6,6,5,4,1,1,5,1,6,6,5,6,4,2,1,2,6,2,3,2,6,4,7,6,5,6,6,1,6,2,6,6,6,6,6,6,1,5,6,1,6,2,2,6,6,2,2,4,1,5,6,5,5,5,2,5,6,2,2,8,8,5
"91",3,4,4,3,1,6,3,3,6,3,4,3,4,2,3,3,3,3,3,2,6,5,5,2,3,6,3,1,6,6,6,1,4,2,2,2,6,6,4,4,2,6,1,7,2,5,5,5,6,5,4,1,5,6,5,5,1,6,1,4,3,6,6,6,6,6,6,6,4,4,4,6,2,5,1,1,1,1,5,1,8,8,5
"92",4,1,4,7,2,2,4,7,2,3,5,5,4,3,4,4,4,5,4,3,4,3,3,2,5,2,4,6,6,2,2,6,3,5,3,6,2,2,2,1,3,2,3,8,2,3,1,1,6,1,4,2,1,2,1,1,2,6,6,3,4,2,2,2,2,2,2,2,5,4,5,2,2,3,6,2,2,2,3,2,9,9,3
"93",8,5,3,3,5,5,4,3,5,3,3,3,8,1,3,3,8,3,4,1,3,3,3,5,3,4,4,6,4,5,5,6,5,3,2,4,5,5,8,5,8,5,3,9,5,2,1,5,4,1,8,5,1,5,1,1,5,4,6,5,1,5,5,5,5,5,4,5,3,8,8,5,5,8,5,7,6,5,2,7,10,10,2
"94",6,2,2,1,3,1,6,1,1,5,2,5,2,4,6,6,6,5,6,4,6,5,4,1,5,6,6,3,6,4,4,3,2,5,1,5,1,1,1,2,1,1,3,7,4,1,4,1,6,4,2,3,4,4,4,4,3,6,3,2,6,1,1,1,1,1,1,1,2,2,2,1,1,2,3,1,3,3,2,3,8,8,1
"95",7,6,7,7,3,5,7,7,5,1,4,1,5,1,7,7,7,1,7,6,7,6,6,5,1,3,7,3,3,2,2,3,4,1,5,1,5,5,4,6,5,5,1,8,2,6,2,6,3,2,4,3,2,2,2,2,3,3,3,4,2,5,5,5,5,5,5,5,4,7,4,5,5,4,3,4,3,3,4,3,9,9,6
"96",8,4,8,1,1,1,8,1,1,4,6,4,8,7,1,8,8,6,3,7,8,4,5,1,4,5,4,1,1,5,5,2,1,4,1,8,1,1,6,4,8,1,8,9,1,4,5,4,1,5,6,1,5,5,4,5,1,1,1,1,5,1,1,1,1,1,1,1,6,8,6,1,1,8,1,6,1,1,1,6,10,10,4
"97",3,5,3,5,5,5,3,5,5,2,2,2,3,2,3,3,3,2,3,1,3,1,1,4,2,3,3,4,3,1,1,4,5,2,4,3,5,5,5,5,4,5,2,6,4,5,1,5,3,1,5,5,1,1,1,1,5,3,4,5,3,5,5,5,5,5,5,5,2,3,4,5,4,4,4,5,4,5,5,5,7,7,5
"98",6,5,6,3,3,3,4,3,3,4,6,6,6,7,4,4,6,6,4,7,4,3,3,2,4,4,4,2,4,3,3,2,3,6,2,4,3,3,1,5,2,3,4,8,3,7,3,3,4,3,1,3,3,3,3,3,3,4,2,3,6,3,3,3,3,3,2,3,6,6,6,3,2,2,2,1,2,3,2,1,9,9,7
"99",6,5,6,1,2,2,6,1,2,1,6,6,6,4,6,6,6,6,5,4,6,1,1,3,6,2,5,2,2,2,2,3,2,6,3,6,2,2,4,5,3,2,6,7,2,1,4,2,2,4,4,2,4,2,4,4,2,2,3,2,6,2,2,2,2,2,3,2,6,6,4,2,3,1,3,4,3,2,3,4,8,8,1
"100",7,4,7,6,3,3,6,6,3,6,7,7,7,5,6,7,7,7,4,5,7,6,6,5,6,3,4,4,4,3,3,5,5,6,5,4,3,3,2,4,5,3,6,8,5,5,1,3,4,1,2,3,1,3,1,1,3,4,3,5,1,3,3,3,3,3,4,3,7,7,7,3,5,5,5,2,5,3,5,2,9,9,5
